ZipCode,State,CombinedRate
72221,AR,0.09
72222,AR,0.09
72223,AR,0.09
72225,AR,0.09
72227,AR,0.09
72231,AR,0.085
72255,AR,0.09
72260,AR,0.09
72301,AR,0.1075
72310,AR,0.09
72311,AR,0.075
72312,AR,0.085
72313,AR,0.09
72315,AR,0.1
72316,AR,0.1
72320,AR,0.075
72321,AR,0.09
72322,AR,0.085
72324,AR,0.085
72325,AR,0.0925
72326,AR,0.085
72327,AR,0.0925
72328,AR,0.085
72329,AR,0.09
72330,AR,0.09
72331,AR,0.1125
72332,AR,0.0925
72333,AR,0.085
72335,AR,0.10375
72338,AR,0.09
72339,AR,0.1025
72340,AR,0.085
72341,AR,0.075
72342,AR,0.105
72346,AR,0.085
72347,AR,0.085
72348,AR,0.0925
72350,AR,0.09
72351,AR,0.11
72352,AR,0.075
72353,AR,0.085
72354,AR,0.1
72355,AR,0.085
72358,AR,0.1
72359,AR,0.095
72360,AR,0.075
72364,AR,0.1125
72365,AR,0.0975
72366,AR,0.085
72367,AR,0.085
72368,AR,0.075
72369,AR,0.085
72370,AR,0.1
72372,AR,0.085
72373,AR,0.085
72374,AR,0.085
72376,AR,0.0925
72377,AR,0.0775
72383,AR,0.085
72384,AR,0.0925
72386,AR,0.0775
72387,AR,0.085
72389,AR,0.085
72390,AR,0.105
72391,AR,0.09
72392,AR,0.085
72394,AR,0.085
72395,AR,0.09
72396,AR,0.095
72401,AR,0.085
72402,AR,0.085
72403,AR,0.085
72404,AR,0.085
72410,AR,0.09
72411,AR,0.085
72412,AR,0.0825
72413,AR,0.0775
72414,AR,0.075
72415,AR,0.09
72416,AR,0.075
72417,AR,0.075
72419,AR,0.075
72421,AR,0.075
72422,AR,0.0975
72424,AR,0.08
72425,AR,0.0825
72426,AR,0.09
72427,AR,0.075
72428,AR,0.1
72429,AR,0.0775
72430,AR,0.08
72431,AR,0.0875
72432,AR,0.0775
72433,AR,0.1
72434,AR,0.0775
72435,AR,0.08
72436,AR,0.0825
72437,AR,0.075
72438,AR,0.09
72440,AR,0.09
72441,AR,0.08
72442,AR,0.09
72443,AR,0.0825
72444,AR,0.0775
72445,AR,0.09
72447,AR,0.085
72449,AR,0.0775
72450,AR,0.09
72451,AR,0.09
72453,AR,0.08
72454,AR,0.1
72455,AR,0.0775
72456,AR,0.08
72457,AR,0.1
72458,AR,0.09
72459,AR,0.0775
72460,AR,0.0775
72461,AR,0.1
72462,AR,0.0775
72464,AR,0.08
72465,AR,0.09
72466,AR,0.09
72467,AR,0.085
72469,AR,0.09
72470,AR,0.08
72471,AR,0.0975
72472,AR,0.0875
72473,AR,0.1
72474,AR,0.0825
72475,AR,0.0975
72476,AR,0.1
72478,AR,0.0775
72479,AR,0.0775
72482,AR,0.075
72501,AR,0.0825
72512,AR,0.09
72513,AR,0.085
72515,AR,0.085
72517,AR,0.07
72519,AR,0.075
72520,AR,0.085
72521,AR,0.075
72522,AR,0.0825
72523,AR,0.08125
72524,AR,0.0825
72526,AR,0.0825
72527,AR,0.0825
72528,AR,0.07
72529,AR,0.085
